LAP,TIME,CUMT,DMILE,µPACE / mi,µGAP / mi,µHR,MAXHR,TASCENT (ft),TDESCENT(ft),µWATT,MAXWATT/KG,MAXWATT,MAXWATT/KG,µCAD,µGCT,µGCTBAL,µSL,µVOSC,µVERTRAT,CAL,µTEMP,BESTPACE,MAXCAD,MOVINGT,µMOVEPACE,LAPT (formatted),,,,,,MIN,SEC
1,0:39.5,0:39.5,0.11,6:13,,100.00,124.00,,,374.00,5.68,437.00,6.64,183.00,213,,1.39,8.9,6.6,4,78.8,5:32,188,0:39.5,6:13,39.5,,µLAPT,42.76333333,,µ2to16LAPT,5,42.10666667
2,0:41.1,1:20.5,0.11,6:14,,137.00,145.00,,,385.00,5.85,424.00,6.44,179.00,220,,1.44,9.6,6.7,8,78.8,5:44,182,0:41,6:14,41.1,,σLAPT,1.200713389,,,,
3,0:41.9,2:02.5,0.11,6:26,,149.00,152.00,,,375.00,5.70,417.00,6.34,178.00,224,,1.40,9.6,6.9,9,78.8,5:59,184,0:41.9,6:26,41.9,,rangLAPT,5,,,,
4,0:42.6,2:45.1,0.10,6:51,,155.00,157.00,,,358.00,5.44,371.00,5.64,176.00,232,,1.35,9.6,7.1,10,78.8,6:36,179,0:42,6:45,42.6,,maxLAPT,44.5,,max2to16LAPT,5,56
5,0:41.8,3:26.9,0.10,6:43,,158.00,160.00,,,357.00,5.43,362.00,5.50,177.00,231,,1.35,9.6,7.1,10,78.8,6:40,180,0:41.8,6:43,41.8,,minLAPT,39.5,,min2to16LAPT,5,16
6,0:40.7,4:07.6,0.11,6:17,,161.00,162.00,,,380.00,5.78,418.00,6.35,179.00,222,,1.42,9.6,6.8,10,77.0,5:48,183,0:40.7,6:17,40.7,,q1LAPT,42.25,,q12to16LAPT,5,38
R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,medLAPT,43.1,,q22to16LAPT,5,44.8
8,0:42.4,7:31.3,0.11,6:10,,142.00,155.00,,,387.00,5.88,444.00,6.75,178.00,221,,1.44,9.7,6.8,8,77.0,5:41,184,0:42.4,6:10,42.4,,q3LAPT,43.5,,q32to16LAPT,5,48
9,0:42.7,8:14.0,0.11,6:45,,160.00,163.00,,,360.00,5.47,392.00,5.96,177.00,229,,1.36,9.6,7.0,10,77.0,6:05,180,0:42,6:39,42.7,,,,,,,
10,0:43.5,8:57.5,0.11,6:38,,165.00,167.00,,,358.00,5.44,418.00,6.35,176.00,232,,1.36,9.7,7.1,11,77.0,6:05,178,0:43.5,6:38,43.5,,µHR,169,,,,
11,0:44.1,9:41.6,0.11,6:48,,167.00,168.00,,,356.00,5.41,414.00,6.29,175.00,233,,1.35,9.7,7.2,11,77.0,6:11,178,0:44,6:47,44.1,,σHR,20.0284,,,,
12,0:43.3,10:25,0.11,6:48,,183.00,186.00,,,356.00,5.41,371.00,5.64,175.00,233,,1.36,9.7,7.2,12,77.0,6:36,178,0:43,6:45,43.3,,maxHR,189,,,,
